examine,id,members,lowalch,limit,value,highalch,icon,name
Bones are for burying!,526,false,1,3000,1,1,Bones.png,Bones
A tablet containing a magic spell.,8014,true,1,10000,1,1,Bones to bananas (tablet).png,Bones to bananas (tablet)
A tablet containing a magic spell.,8015,true,1,10000,1,1,Bones to peaches (tablet).png,Bones to peaches (tablet)
A set containing the four pages of Guthix's Book of Balance.,13153,true,2800,5,7000,4200,Book of balance page set.png,Book of balance page set
A set containing the four pages of the Ancient Book of Darkness.,13159,true,3000,5,7500,4500,Book of darkness page set.png,Book of darkness page set
A set containing the four pages of Armadyl's Book of Law.,13157,true,3000,5,7500,4500,Book of law page set.png,Book of law page set
A set containing the four pages of Bandos' Book of War.,13155,true,3000,5,7500,4500,Book of war page set.png,Book of war page set
How does it all fit in there?,8510,true,4,500,10,6,Bookcase (flatpack).png,Bookcase (flatpack)
A pair of heat resistant boots charged with the claw of the ferocious Drake.,22951,true,8000,70,20000,12000,Boots of brimstone.png,Boots of brimstone
A dark power is woven into these boots.,20140,true,4000,70,10000,6000,Boots of darkness.png,Boots of darkness
A pair of heat resistant boots with rocky soles.,23037,true,80,125,200,120,Boots of stone.png,Boots of stone
Mmm botanical pie.,19662,true,12,10000,30,18,Botanical pie.png,Botanical pie
A very good vintage.,7919,true,200,10000,500,300,Bottle of wine.png,Bottle of wine
Several dragonfruit were squeezed into this vial and it has been powered by the fires of Mount Karuulm.,23002,true,200,50,500,300,Bottled dragonbreath.png,Bottled dragonbreath
Several dragonfruit were squeezed into this vial.,22999,true,200,50,500,300,Bottled dragonbreath (unpowered).png,Bottled dragonbreath (unpowered)
It's a bucket that can hold a lot of compost at once.,22994,true,18000,5,45000,27000,Bottomless compost bucket.png,Bottomless compost bucket
A magical elven bow.,25862,true,2000000,,5000000,3000000,Bow of faerdhinen (inactive).png,Bow of faerdhinen (inactive)
I need a bow stave to attach this to.,1777,true,4,13000,10,6,Bow string.png,Bow string
Useful for mixing things.,1923,false,1,13000,4,2,Bowl.png,Bowl
It's a bowl of hot water.,4456,true,4,13000,10,6,Bowl of hot water.png,Bowl of hot water
It's a bowl of water.,1921,false,1,13000,4,2,Bowl of water.png,Bowl of water
The bowl wig.,20110,true,1,4,1,1,Bowl wig.png,Bowl wig
"If a creature goes inside, the box should then slam shut.",10008,true,12,250,32,19,Box trap.png,Box trap
Used to make gold bracelets.,11065,true,2,40,5,3,Bracelet mould.png,Bracelet mould
Now I can become a potter.,11074,true,506,10000,1265,759,Bracelet of clay.png,Bracelet of clay
The bracelet is dull and powerless.,21817,true,28800,10000,72000,43200,Bracelet of ethereum.png,Bracelet of ethereum (uncharged)
Occasionally prevents slayer kill count being decremented.,21183,true,1000,10000,2500,1500,Bracelet of slaughter.png,Bracelet of slaughter
A strong spirit best served in a large glass.,2021,true,2,13000,5,3,Brandy.png,Brandy
Opens a door that leads into a dungeon.,983,false,1,15,1,1,Brass key.png,Brass key
I'd prefer a gold one.,1009,false,12,150,30,18,Brass necklace.png,Brass necklace
Nice crispy bread.,2309,false,4,6000,12,7,Bread.png,Bread
Some uncooked dough.,2307,false,1,13000,4,2,Bread dough.png,Bread dough
For your first day in the big city.,12335,true,266,4,666,399,Briefcase.png,Briefcase
A well balanced ring that aids in piercing magic defence.,22975,true,4000,8,10000,6000,Brimstone ring.png,Brimstone ring
A salty sword.,11037,true,10400,8,26000,15600,Brine sabre.png,Brine sabre
Arrowheads with broad tips.,11874,true,22,7000,55,33,Broad arrowheads 5.png,Broad arrowheads
Crossbow bolts with broad tips.,11875,true,22,7000,55,33,Broad bolts 5.png,Broad bolts
An orange and bark coloured snail shell helmet.,3335,true,120,150,300,180,Broken bark snelm.png,Broken bark snelm
The item to make into a hasta.,22963,true,24960,70,62400,37440,Broken dragon hasta.png,Broken dragon hasta
A two handed sword.,1307,false,32,125,80,48,Bronze 2h sword.png,Bronze 2h sword
Arrows with bronze heads.,882,false,1,7000,1,1,Bronze arrow 5.png,Bronze arrow
Venomous-looking arrows.,883,true,1,7000,1,1,Bronze arrow(p) 5.png,Bronze arrow(p)
Venomous-looking arrows.,5616,true,1,7000,1,1,Bronze arrow(p+) 5.png,Bronze arrow(p+)
Venomous-looking arrows.,5622,true,1,7000,1,1,Bronze arrow(p++) 5.png,Bronze arrow(p++)
I can make some arrows with these.,39,true,1,10000,1,1,Bronze arrowtips.png,Bronze arrowtips
A woodcutter's axe.,1351,false,6,40,16,9,Bronze axe.png,Bronze axe
It's a bar of bronze.,2349,false,3,10000,8,4,Bronze bar.png,Bronze bar
A vicious looking axe.,1375,false,20,125,52,31,Bronze battleaxe.png,Bronze battleaxe
Bronze crossbow bolts.,877,false,1,7000,1,1,Bronze bolts 5.png,Bronze bolts
Some poisoned bronze bolts.,878,true,1,11000,1,1,Bronze bolts (p) 5.png,Bronze bolts (p)
Some poisoned bronze bolts.,6061,true,1,11000,1,1,Bronze bolts (p+) 5.png,Bronze bolts (p+)
Super poisoned bronze bolts.,6062,true,1,11000,1,1,Bronze bolts (p++) 5.png,Bronze bolts (p++)
Unfeathered bronze crossbow bolts.,9375,true,1,13000,1,1,Bronze bolts (unf) 5.png,Bronze bolts (unf)
These will protect my feet.,4119,true,9,125,24,14,Bronze boots.png,Bronze boots
Blunt bronze arrow... ouch.,4773,true,2,11000,5,3,Bronze brutal 5.png,Bronze brutal
A series of connected metal rings.,1103,false,24,125,60,36,Bronze chainbody.png,Bronze chainbody
A set of fighting claws.,3095,true,6,125,15,9,Bronze claws.png,Bronze claws
A bronze crossbow.,9174,true,29,125,73,43,Bronze crossbow.png,Bronze crossbow
An unstrung bronze crossbow.,9454,true,16,10000,40,24,Bronze crossbow (u).png,Bronze crossbow (u)
Short but pointy.,1205,false,4,125,10,6,Bronze dagger.png,Bronze dagger
This dagger is poisoned.,1221,true,4,125,10,6,Bronze dagger(p).png,Bronze dagger(p)
This dagger is poisoned.,5670,true,4,125,10,6,Bronze dagger(p+).png,Bronze dagger(p+)
This dagger is poisoned.,5688,true,4,125,10,6,Bronze dagger(p++).png,Bronze dagger(p++)
A deadly throwing dart with a bronze tip.,806,true,1,7000,1,1,Bronze dart.png,Bronze dart
A deadly looking dart tip made of bronze - needs feathers for flight.,819,true,1,13000,1,1,Bronze dart tip.png,Bronze dart tip
A deadly poisoned dart with a bronze tip.,812,true,1,7000,1,1,Bronze dart(p).png,Bronze dart(p)
A deadly poisoned dart with a bronze tip.,5628,true,1,7000,1,1,Bronze dart(p+).png,Bronze dart(p+)
A deadly poisoned dart with a bronze tip.,5635,true,1,7000,1,1,Bronze dart(p++).png,Bronze dart(p++)
Do I look scary?,12363,true,4000,4,10000,6000,Bronze dragon mask.png,Bronze dragon mask
A full face helmet.,1155,false,17,125,44,26,Bronze full helm.png,Bronze full helm
Bronze full helm with gold trim.,12211,false,19,4,48,28,Bronze full helm (g).png,Bronze full helm (g)
Bronze full helm with trim.,12221,false,19,4,48,28,Bronze full helm (t).png,Bronze full helm (t)
"A set containing a full helm, platebody, legs and kiteshield.",12968,false,80,8,200,120,Bronze gold-trimmed set (lg).png,Bronze gold-trimmed set (lg)
"A set containing a full helm, platebody, skirt and kiteshield.",12970,false,80,8,200,120,Bronze gold-trimmed set (sk).png,Bronze gold-trimmed set (sk)
A bronze halberd.,3190,true,32,125,80,48,Bronze halberd.png,Bronze halberd
"A bronze-tipped, one-handed hasta.",11367,true,10,125,26,15,Bronze hasta.png,Bronze hasta
"A poison tipped, one-handed bronze hasta.",11379,true,10,125,26,15,Bronze hasta(p).png,Bronze hasta(p)
"A poison tipped, one-handed bronze hasta.",11382,true,10,125,26,15,Bronze hasta(p+).png,Bronze hasta(p+)
"A poison-tipped, one-handed bronze hasta.",11384,true,10,125,26,15,Bronze hasta(p++).png,Bronze hasta(p++)
A bronze tipped javelin.,825,true,1,7000,4,2,Bronze javelin.png,Bronze javelin
Needs a shaft.,19570,true,10,10000,25,15,Bronze javelin heads 5.png,Bronze javelin heads
A bronze tipped javelin.,831,true,1,7000,4,2,Bronze javelin(p).png,Bronze javelin(p)
A bronze tipped javelin.,5642,true,1,7000,4,2,Bronze javelin(p+).png,Bronze javelin(p+)
A bronze tipped javelin.,5648,true,1,7000,4,2,Bronze javelin(p++).png,Bronze javelin(p++)
A large metal shield.,1189,false,27,125,68,40,Bronze kiteshield.png,Bronze kiteshield
Bronze kiteshield with gold trim.,12213,false,25,4,64,38,Bronze kiteshield (g).png,Bronze kiteshield (g)
Bronze kiteshield with trim.,12223,false,25,4,64,38,Bronze kiteshield (t).png,Bronze kiteshield (t)
A finely balanced throwing knife.,864,true,1,7000,1,1,Bronze knife.png,Bronze knife
A finely balanced throwing knife.,870,true,1,7000,1,1,Bronze knife(p).png,Bronze knife(p)
A finely balanced throwing knife.,5654,true,1,7000,1,1,Bronze knife(p+).png,Bronze knife(p+)
A finely balanced throwing knife.,5661,true,1,7000,1,1,Bronze knife(p++).png,Bronze knife(p++)
A pair of bronze crossbow limbs.,9420,true,8,10000,20,12,Bronze limbs.png,Bronze limbs
Perhaps someone can do something with this.,25442,true,320,8,800,480,Bronze locks.png,Bronze locks
A razor sharp longsword.,1291,false,16,125,40,24,Bronze longsword.png,Bronze longsword
A spiky mace.,1422,false,7,125,18,10,Bronze mace.png,Bronze mace
A medium sized helmet.,1139,false,9,125,24,14,Bronze med helm.png,Bronze med helm
Keeps things in place fairly permanently.,4819,true,1,13000,2,1,Bronze nails.png,Bronze nails
Used for mining.,1265,false,1,40,1,1,Bronze pickaxe.png,Bronze pickaxe
Provides excellent protection.,1117,false,64,125,160,96,Bronze platebody.png,Bronze platebody
Bronze platebody with gold trim.,12205,false,64,4,160,96,Bronze platebody (g).png,Bronze platebody (g)
Bronze platebody with trim.,12215,false,64,4,160,96,Bronze platebody (t).png,Bronze platebody (t)
These look pretty heavy.,1075,false,32,125,80,48,Bronze platelegs.png,Bronze platelegs
Bronze platelegs with gold trim.,12207,false,32,4,80,48,Bronze platelegs (g).png,Bronze platelegs (g)
Bronze platelegs with trim.,12217,false,32,4,80,48,Bronze platelegs (t).png,Bronze platelegs (t)
Designer leg protection.,1087,false,32,125,80,48,Bronze plateskirt.png,Bronze plateskirt
Bronze plateskirt with gold trim.,12209,false,32,4,80,48,Bronze plateskirt (g).png,Bronze plateskirt (g)
Bronze plateskirt with trim.,12219,false,32,4,80,48,Bronze plateskirt (t).png,Bronze plateskirt (t)
"A vicious, curved sword.",1321,false,12,125,32,19,Bronze scimitar.png,Bronze scimitar
"A set containing a full helm, platebody, legs and kiteshield.",12960,false,80,8,200,120,Bronze set (lg).png,Bronze set (lg)
"A set containing a full helm, platebody, skirt and kiteshield.",12962,false,80,8,200,120,Bronze set (sk).png,Bronze set (sk)
A bronze tipped spear.,1237,true,10,125,26,15,Bronze spear.png,Bronze spear
A poisoned bronze tipped spear.,1251,true,10,125,26,15,Bronze spear(p).png,Bronze spear(p)
A poisoned bronze tipped spear.,5704,true,10,125,26,15,Bronze spear(p+).png,Bronze spear(p+)
A poisoned bronze tipped spear.,5718,true,10,125,26,15,Bronze spear(p++).png,Bronze spear(p++)
A medium square shield.,1173,false,19,125,48,28,Bronze sq shield.png,Bronze sq shield
A razor sharp sword.,1277,false,10,125,26,15,Bronze sword.png,Bronze sword
A finely balanced throwing axe.,800,true,1,7000,3,1,Bronze thrownaxe.png,Bronze thrownaxe
"A set containing a full helm, platebody, legs and kiteshield.",12964,false,80,8,200,120,Bronze trimmed set (lg).png,Bronze trimmed set (lg)
"A set containing a full helm, platebody, skirt and kiteshield.",12966,false,80,8,200,120,Bronze trimmed set (sk).png,Bronze trimmed set (sk)
I don't think it's intended for joinery.,1337,false,18,125,47,28,Bronze warhammer.png,Bronze warhammer
Useful for Crafting items.,1794,true,8,15,20,12,Bronze wire.png,Bronze wire
A scary broodoo shield.,6259,true,1200,125,3000,1800,Broodoo shield (blue).png,Broodoo shield (10) (blue)
A scary broodoo shield.,6215,true,1200,125,3000,1800,Broodoo shield (green).png,Broodoo shield (10) (green)
A scary broodoo shield.,6237,true,1200,125,3000,1800,Broodoo shield (orange).png,Broodoo shield (10) (orange)
A scary broodoo shield.,6279,true,1200,125,3000,1800,Broodoo shield (blue).png,Broodoo shield (blue)
A scary broodoo shield.,6235,true,1200,125,3000,1800,Broodoo shield (green).png,Broodoo shield (green)
A scary broodoo shield.,6257,true,1200,125,3000,1800,Broodoo shield (orange).png,Broodoo shield (orange)
A mostly clean apron.,1757,false,1,40,2,1,Brown apron.png,Brown apron
A minimalist's hat.,2649,true,16,4,40,24,Brown headband.png,Brown headband
A brown toy horse.,2520,false,40,150,100,60,Brown toy horsey.png,Brown toy horsey
A moody blue pointed snail shell helmet.,3343,true,120,150,300,180,Bruise blue snelm (pointed).png,Bruise blue snelm (pointed)
A moody blue snail shell helmet.,3333,true,120,150,300,180,Bruise blue snelm (round).png,Bruise blue snelm (round)
Ready to infuse a Battlestaff with the power of Nature.,22372,false,2800,100,7000,4200,Bryophyta's essence.png,Bryophyta's essence
"It's a slightly magical stick. All natural, of course.",22368,false,26000,8,65000,39000,Bryophyta's staff (uncharged).png,Bryophyta's staff (uncharged)
It's a wooden bucket.,1925,false,1,13000,2,1,Bucket.png,Bucket
A helm made from a bucket.,19991,true,5600,4,14000,8400,Bucket helm.png,Bucket helm
A helm made from a golden bucket.,20059,true,5600,4,14000,8400,Bucket helm (g).png,Bucket helm (g)
It's a bucket of milk.,1927,false,2,13000,6,3,Bucket of milk.png,Bucket of milk
One of the ingredients for making glass.,1783,true,1,13000,2,1,Bucket of sand.png,Bucket of sand
It's a bucket of sap.,4687,true,12,15,30,18,Bucket of sap.png,Bucket of sap
It's a bucket of water.,1929,false,2,13000,6,3,Bucket of water.png,Bucket of water
It's a bucket of wax.,30,true,2,15,6,3,Bucket of wax.png,Bucket of wax
A sturdy steel lantern.,4548,true,168,10000,420,252,Bullseye lantern.png,Bullseye lantern
You need to add lamp oil before you can use it.,4546,true,160,10000,400,240,Bullseye lantern (empty).png,Bullseye lantern (empty)
You need to add a lens before you can use it.,4544,true,120,10000,300,180,Bullseye lantern (unf).png,Bullseye lantern (unf)
Useful teleports around the wilderness.,21166,true,500,10000,1250,750,Burning amulet.png,Burning amulet(5)
Bones are for burying!,528,false,1,3000,1,1,Burnt bones.png,Burnt bones
It's still warm to the touch.,20718,true,80,11000,200,120,Burnt page.png,Burnt page
It's got little holes in the top.,10012,true,1,40,1,1,Butterfly jar.png,Butterfly jar
For catching butterflies...,10010,true,8,125,20,12,Butterfly net.png,Butterfly net
Yuck I don't like cabbage.,1965,false,1,6000,1,1,Cabbage.png,Cabbage
An adamant shield shaped like a cabbage.,20272,true,1200,125,3000,1800,Cabbage round shield.png,Cabbage round shield
A cabbage seed - plant in an allotment.,5324,true,1,600,3,1,Cabbage seed 5.png,Cabbage seed
There are 10 cabbages in this sack.,5478,true,1,600,1,1,Cabbages(10).png,Cabbages(10)
A Cactus seed - plant in a cactus patch.,5280,true,39,200,99,59,Cactus seed 5.png,Cactus seed
Don't prick yourself with this.,6016,true,1,11000,1,1,Cactus spine.png,Cactus spine
A powerful herb.,265,true,26,11000,65,39,Cadantine.png,Cadantine
I need another ingredient to finish this blood potion.,22443,true,66,10000,165,99,Cadantine blood potion (unf).png,Cadantine blood potion (unf)
I need another ingredient to finish this Cadantine potion.,107,true,26,10000,65,39,Cadantine potion (unf).png,Cadantine potion (unf)
A cadantine seed - plant in a herb patch.,5301,true,2,200,7,4,Cadantine seed 5.png,Cadantine seed
Poisonous berries.,753,false,1,600,1,1,Cadava berries.png,Cadava berries
A cadavaberry bush seed - plant in a bush patch.,5102,true,3,600,9,5,Cadavaberry seed 5.png,Cadavaberry seed
A plain sponge cake.,1891,false,20,6000,50,30,Cake.png,Cake
Useful for baking cakes.,1887,false,4,40,10,6,Cake tin.png,Cake tin
A large crystal of calcium carbonate.,21543,true,12,13000,30,18,Calcite.png,Calcite
This is the largest fruit I've ever seen.,5980,true,21,11000,54,32,Calquat fruit.png,Calquat fruit
Sliced and hollowed out to form a keg.,5769,true,1,10000,1,1,Calquat keg.png,Calquat keg
This sapling is ready to be replanted in a Calquat Tree patch.,5503,true,1,200,1,1,Calquat sapling.png,Calquat sapling
Plant in a plantpot of soil to grow a sapling.,5290,true,136,200,340,204,Calquat tree seed 5.png,Calquat tree seed
A teleport to Camelot.,8010,true,1,10000,1,1,Camelot teleport (tablet).png,Camelot teleport (tablet)
A candle.,36,true,1,40,3,1,Candle.png,Candle
A candle in a glass cage.,4532,true,6,100,15,9,Candle lantern (black).png,Candle lantern (black)
A candle in a glass cage.,4529,true,6,40,15,9,Candle lantern (white).png,Candle lantern (white)
The barrels of the multicannon.,10,true,75000,70,187500,112500,Cannon barrels.png,Cannon barrels
The cannon is built on this.,6,true,75000,70,187500,112500,Cannon base.png,Cannon base
This powers the multicannon.,12,true,75000,70,187500,112500,Cannon furnace.png,Cannon furnace
The mounting for the multicannon.,8,true,75000,70,187500,112500,Cannon stand.png,Cannon stand
Ammo for the Dwarf Cannon.,2,true,2,11000,5,3,Cannonball.png,Cannonball
Lets the person behind you know that you mean business.,23351,true,2000,8,5000,3000,Cape of skulls.png,Cape of skulls
"A teleport to Carrallangar, in level 19 Wilderness.",12776,true,1,10000,1,1,Carrallangar teleport (tablet).png,Carrallangar teleport (tablet)
How does it all fit in there?,8566,true,4,500,10,6,Carved oak bench (flatpack).png,Carved oak bench (flatpack)
Carved oak magic wardrobe.,9853,true,4,500,10,6,Carved oak magic wardrobe (flatpack).png,Carved oak magic wardrobe (flatpack)
How does it all fit in there?,8552,true,4,500,10,6,Carved oak table (flatpack).png,Carved oak table (flatpack)
How does it all fit in there?,8570,true,4,500,10,6,Carved teak bench (flatpack).png,Carved teak bench (flatpack)
Carved teak magic wardrobe.,9855,true,4,500,10,6,Carved teak magic wardrobe (flatpack).png,Carved teak magic wardrobe (flatpack)
How does it all fit in there?,8556,true,4,500,10,6,Carved teak table (flatpack).png,Carved teak table (flatpack)
I hope there's treasure in it.,405,true,20,50,50,30,Casket.png,Casket
Must be worn as you enter the game to receive the bonus for that game.,11079,false,670,10000,1675,1005,Castle wars bracelet.png,Castle wars bracelet(3)
Miaow!,12361,true,960,4,2400,1440,Cat mask.png,Cat mask
A mysterious power emanates from the talisman...,26798,true,1,40,1,1,Catalytic talisman.png,Catalytic talisman
A tiara infused with the properties of every catalytic rune.,26801,true,1,40,1,1,Catalytic tiara.png,Catalytic tiara
A teleport to Catherby.,24961,true,1,10000,1,1,Catherby teleport (tablet).png,Catherby teleport (tablet)
I hope I don't meet any roundheads...,11280,true,80,150,200,120,Cavalier mask.png,Cavalier mask
It's a bit slimy.,5003,true,6,10000,15,9,Cave eel.png,Cave eel
Wire found in Dorgesh-Kaan.,10981,true,8,11000,20,12,Cave goblin wire.png,Cave goblin wire
"Caviar, or expensive fishy eggs.",11326,true,20,13000,50,30,Caviar.png,Caviar
"A length of celastrus wood, ready for fletching.",22935,true,180,12000,450,270,Celastrus bark.png,Celastrus bark
This sapling is ready to be replanted in a Celastrus patch.,22856,true,1,200,1,1,Celastrus sapling.png,Celastrus sapling
For growing a Celastrus tree.,22869,true,216,200,540,324,Celastrus seed 5.png,Celastrus seed
A teleport to the Cemetery in level 31 Wilderness.,19627,true,1,10000,1,1,Cemetery teleport (tablet).png,Cemetery teleport (tablet)
Used for low level missile spells.,562,false,36,12000,90,54,Chaos rune.png,Chaos rune
A mysterious power emanates from the talisman...,1452,true,1,11000,4,2,Chaos talisman.png,Chaos talisman
A tiara infused with the properties of chaos.,5543,true,40,40,100,60,Chaos tiara.png,Chaos tiara
A lump of charcoal.,973,false,18,13000,45,27,Charcoal.png,Charcoal
A scroll for charging dragonstone jewellery.,20238,true,1,10000,1,1,Charge dragonstone jewellery scroll.png,Charge dragonstone jewellery scroll
It's got holes in it.,1985,false,1,13000,4,2,Cheese.png,Cheese
This smells really good.,2259,true,1,6000,2,1,Cheese+tom batta.png,Cheese+tom batta
"A fruity, full-bodied ale.",5755,true,1,2000,2,1,Chef's delight.png,Chef's delight
How does it all fit in there?,8526,true,4,500,10,6,Chef's delight (flatpack).png,Chef's delight (flatpack)
This keg contains 4 pints of Chef's Delight.,5833,true,1,2000,1,1,Chef's delight(4).png,Chef's delight(4)
This looks a good deal stronger than normal Chef's Delight.,5757,true,1,2000,2,1,Chef's delight(m).png,Chef's delight(m)
This keg contains 4 pints of mature Chef's Delight.,5913,true,1,2000,1,1,Chef's delight(m4).png,Chef's delight(m4)
What a silly hat.,1949,false,1,150,2,1,Chef's hat.png,Chef's hat
A bowl of meat in chilli-con-carne sauce.,7062,true,5,13000,13,7,Chilli con carne.png,Chilli con carne
A baked potato with chilli con carne.,7054,true,5,13000,13,7,Chilli potato.png,Chilli potato
Handle with care.,10033,true,56,7000,140,84,Chinchompa.png,Chinchompa
Good for detailed Crafting.,1755,false,1,40,1,1,Chisel.png,Chisel
A warm creamy alcoholic beverage.,2074,true,12,2000,30,18,Choc saturday.png,Choc saturday
Better eat this before it melts.,6794,true,12,6000,30,18,Choc-ice.png,Choc-ice
Yum... smells good.,2209,true,1,6000,2,1,Chocchip crunchies.png,Chocchip crunchies
Mmmmmmm chocolate.,1973,false,4,13000,10,6,Chocolate bar.png,Chocolate bar
"Full of creamy, chocolately goodness.",2185,true,1,6000,2,1,Chocolate bomb.png,Chocolate bomb
This looks very tasty.,1897,false,28,6000,70,42,Chocolate cake.png,Chocolate cake
It's ground up chocolate.,1975,false,1,13000,2,1,Chocolate dust.png,Chocolate dust
A bowl of chopped garlic.,7074,true,2,13000,7,4,Chopped garlic.png,Chopped garlic
A mixture of onions in a bowl.,1871,true,1,11000,3,1,Chopped onion.png,Chopped onion
A mixture of tomatoes in a bowl.,1869,true,1,11000,3,1,Chopped tomato.png,Chopped tomato
A bowl of finely chopped tuna.,7086,true,41,13000,104,62,Chopped tuna.png,Chopped tuna
Strips of ugthanki meat in a bowl.,1873,true,2,11000,5,3,Chopped ugthanki.png,Chopped ugthanki
I need to pull this.,962,false,1,50,1,1,Christmas cracker.png,Christmas cracker
A glass of cider.,5763,true,1,2000,2,1,Cider.png,Cider
How does it all fit in there?,8518,true,4,500,10,6,Cider barrel (flatpack).png,Cider barrel (flatpack)
This keg contains 4 pints of Cider.,5849,true,1,2000,1,1,Cider(4).png,Cider(4)
This keg contains 4 pints of mature Cider.,5929,true,1,2000,1,1,Cider(m4).png,Cider(m4)
A toughened chunk of dagannoth hide.,6169,true,24,11000,60,36,Circular hide.png,Circular hide
Ghetto disguise!,9644,true,2,150,5,3,Citizen shoes.png,Citizen shoes
Ghetto disguise!,9640,true,2,150,5,3,Citizen top.png,Citizen top
Ghetto disguise!,9642,true,2,150,5,3,Citizen trousers.png,Citizen trousers
Some hard dry clay.,434,false,1,13000,1,1,Clay.png,Clay
A spirit soaked piece of silk which can be used to remove poison.,3188,true,24,40,60,36,Cleaning cloth.png,Cleaning cloth
An effective tool for chopping tough meat.,7451,true,10240,50,25600,15360,Cleaver.png,Cleaver
Boots made for climbing.,3105,true,4,200,12,7,Climbing boots.png,Climbing boots
Boots made for climbing. Nice trim!,23413,true,30000,4,75000,45000,Climbing boots (g).png,Climbing boots (g)
A clockwork mechanism.,8792,true,200,11000,500,300,Clockwork.png,Clockwork
Protects your clue scroll if you die.,12789,true,4,50,10,6,Clue box.png,Clue box
Hmm a non-renewable energy source!,453,false,18,13000,45,27,Coal.png,Coal
For sipping cocktails.,2026,true,1,13000,1,1,Cocktail glass.png,Cocktail glass
A book on tree gnome cocktails.,2023,true,1,15,2,1,Cocktail guide.png,Cocktail guide
Used for mixing cocktails.,2025,true,1,40,2,1,Cocktail shaker.png,Cocktail shaker
It's a coconut.,5974,true,34,11000,87,52,Coconut.png,Coconut
A vial filled with coconut milk,5935,true,1,11000,1,1,Coconut milk.png,Coconut milk
Some nicely cooked cod.,339,true,4,6000,10,6,Cod.png,Cod
Light weight head protection.,1169,false,80,125,200,120,Coif.png,Coif
You will need to recharge the bracelet at the Legends Guild.,11126,true,8416,10000,21040,12624,Combat bracelet.png,Combat bracelet
A handy way to get around.,11118,true,8416,10000,21040,12624,Combat bracelet(4).png,Combat bracelet(4)
A handy way to get around.,11972,true,8416,10000,21040,12624,Combat bracelet(6).png,Combat bracelet(6)
One dose of fishy combat potion.,11447,true,20,2000,52,31,Combat mix(1).png,Combat mix(1)
Two doses of fishy combat potion.,11445,true,42,2000,105,63,Combat mix(2).png,Combat mix(2)
"A set containing 4-dose vials of Attack, Strength and Defence potions.",13064,true,28,2000,70,42,Combat potion set.png,Combat potion set
1 dose of combat potion.,9745,true,20,2000,52,31,Combat potion(1).png,Combat potion(1)
2 doses of combat potion.,9743,true,42,2000,105,63,Combat potion(2).png,Combat potion(2)
3 doses of combat potion.,9741,true,64,2000,160,96,Combat potion(3).png,Combat potion(3)
4 doses of combat potion.,9739,true,86,2000,215,129,Combat potion(4).png,Combat potion(4)
Common fur from a common kebbit.,10121,true,4,10000,12,7,Common kebbit fur.png,Common kebbit fur
The most common of the tench.,22829,true,1,13000,3,1,Common tench.png,Common tench
A composite ogre bow.,4827,true,72,70,180,108,Comp ogre bow.png,Comp ogre bow
"Good for plants, helps them grow.",6032,true,8,2000,20,12,Compost.png,Compost
Pour this on compost to turn it into super-compost.,6476,true,12,50,30,18,Compost potion(1).png,Compost potion(1)
Pour this on compost to turn it into super-compost.,6474,true,24,50,60,36,Compost potion(2).png,Compost potion(2)
Pour this on compost to turn it into super-compost.,6472,true,36,50,90,54,Compost potion(3).png,Compost potion(3)
Pour this on compost to turn it into super-compost.,6470,true,48,50,120,72,Compost potion(4).png,Compost potion(4)
The gold standard of gold.,26266,true,3200000,,8000000,4800000,Condensed gold.png,Condensed gold
Mmm this looks tasty.,2140,false,1,6000,4,2,Cooked chicken.png,Cooked chicken
It might look delicious to an ogre.,2878,true,52,6000,130,78,Cooked chompy.png,Cooked chompy
Roasted chompy bird.,7228,true,34,100,85,51,Cooked chompy (roasted).png,Cooked chompy (roasted)
Nice and tasty!,7521,true,20,6000,50,30,Cooked crab meat 5.png,Cooked crab meat
Lovely Jubbly!,7568,true,60,10000,150,90,Cooked jubbly.png,Cooked jubbly
Cooked octopus. It looks very nutritious.,3144,true,100,10000,250,150,Cooked karambwan.png,Cooked karambwan
Mmm this looks tasty.,2142,false,1,6000,4,2,Cooked meat.png,Cooked meat
I don't want to think about what kind of meat it is.,24785,true,1,,1,1,Cooked mystery meat.png,Cooked mystery meat
Deliciously cooked oomlie meat in a palm leaf pouch.,2343,true,14,15,35,21,Cooked oomlie wrap.png,Cooked oomlie wrap
Mmm this looks tasty.,3228,true,1,6000,4,2,Cooked rabbit.png,Cooked rabbit
"A cooked slimy eel - not delicious, but pretty nutritious.",3381,true,1,6000,1,1,Cooked slimy eel.png,Cooked slimy eel
Delicious cooked sweetcorn.,5988,true,3,11000,9,5,Cooked sweetcorn.png,Cooked sweetcorn
Keeps the doctor away.,1955,false,1,13000,1,1,Cooking apple.png,Cooking apple
This needs refining.,436,false,1,13000,3,1,Copper ore.png,Copper ore
It's cornflour.,7466,false,1,15,1,1,Cornflour.png,Cornflour
Used for enchant spells.,564,false,20,12000,50,30,Cosmic rune.png,Cosmic rune
A mysterious power emanates from the talisman...,1454,true,1,11000,4,2,Cosmic talisman.png,Cosmic talisman
A tiara infused with the properties of the cosmos.,5539,true,40,40,100,60,Cosmic tiara.png,Cosmic tiara
I should take this to the tannery.,1739,false,1,13000,2,1,Cowhide.png,Cowhide
This bow once belonged to a formidable follower of Armadyl.,22547,true,48000,8,120000,72000,Craw's bow (u).png,Craw's bow (u)
"They're soft, silky and cream.",632,true,80,150,200,120,Cream boots.png,Cream boots
